Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-01T00:00:00+02:00;3,0742;115
2024-08-01T00:15:00+02:00;2,8851;115
2024-08-01T00:30:00+02:00;3,0754;115
2024-08-01T00:45:00+02:00;3,0436;115
2024-08-01T01:00:00+02:00;2,9057;0,11375
2024-08-01T01:15:00+02:00;3,1309;0,11375
2024-08-01T01:30:00+02:00;2959;0,11375
2024-08-01T01:45:00+02:00;3,1341;0,11375
2024-08-01T02:00:00+02:00;3,2147;91
2024-08-01T02:15:00+02:00;2,8253;91
2024-08-01T02:30:00+02:00;3,2875;91
2024-08-01T02:45:00+02:00;2,9165;91
2024-08-01T03:00:00+02:00;3,1607;0,08355
2024-08-01T03:15:00+02:00;3,1368;0,08355
2024-08-01T03:30:00+02:00;3,0154;0,08355
2024-08-01T03:45:00+02:00;3,2652;0,08355
2024-08-01T04:00:00+02:00;2,9353;0,08286
2024-08-01T04:15:00+02:00;3,2336;0,08286
2024-08-01T04:30:00+02:00;2767;0,08286
2024-08-01T04:45:00+02:00;3,3848;0,08286
2024-08-01T05:00:00+02:00;2,9452;0,11
2024-08-01T05:15:00+02:00;3207;0,11
2024-08-01T05:30:00+02:00;3,1468;0,11
2024-08-01T05:45:00+02:00;3,1283;0,11
2024-08-01T06:00:00+02:00;3,2714;0,10904
2024-08-01T06:15:00+02:00;2,9703;0,10904
2024-08-01T06:30:00+02:00;3,3944;0,10904
2024-08-01T06:45:00+02:00;2,8519;0,10904
2024-08-01T07:00:00+02:00;3,3141;0,11105
2024-08-01T07:15:00+02:00;2572;0,11105
2024-08-01T07:30:00+02:00;3,0831;0,11105
2024-08-01T07:45:00+02:00;2,7839;0,11105
2024-08-01T08:00:00+02:00;2,6311;0,10595
2024-08-01T08:15:00+02:00;3,0067;0,10595
2024-08-01T08:30:00+02:00;2,5319;0,10595
2024-08-01T08:45:00+02:00;2,6234;0,10595
2024-08-01T09:00:00+02:00;2,4788;0,0901
2024-08-01T09:15:00+02:00;2,2991;0,0901
2024-08-01T09:30:00+02:00;3,0341;0,0901
2024-08-01T09:45:00+02:00;2,7327;0,0901
2024-08-01T10:00:00+02:00;3,1578;0,07695
2024-08-01T10:15:00+02:00;2,7487;0,07695
2024-08-01T10:30:00+02:00;3,0714;0,07695
2024-08-01T10:45:00+02:00;2,9381;0,07695
2024-08-01T11:00:00+02:00;2,8799;0,06764
2024-08-01T11:15:00+02:00;2,9324;0,06764
2024-08-01T11:30:00+02:00;2,3539;0,06764
2024-08-01T11:45:00+02:00;2,7392;0,06764
2024-08-01T12:00:00+02:00;2,7609;0,06403
2024-08-01T12:15:00+02:00;2,8222;0,06403
2024-08-01T12:30:00+02:00;2,91;0,06403
2024-08-01T12:45:00+02:00;2,75;0,06403
2024-08-01T13:00:00+02:00;2,9644;0,06181
2024-08-01T13:15:00+02:00;2,6545;0,06181
2024-08-01T13:30:00+02:00;3,0505;0,06181
2024-08-01T13:45:00+02:00;2,7858;0,06181
2024-08-01T14:00:00+02:00;2,8093;0,06708
2024-08-01T14:15:00+02:00;3,1101;0,06708
2024-08-01T14:30:00+02:00;2,6163;0,06708
2024-08-01T14:45:00+02:00;2,8402;0,06708
2024-08-01T15:00:00+02:00;2,7507;92
2024-08-01T15:15:00+02:00;2,6972;92
2024-08-01T15:30:00+02:00;2,7579;92
2024-08-01T15:45:00+02:00;2,3274;92
2024-08-01T16:00:00+02:00;2,6167;0,09269
2024-08-01T16:15:00+02:00;2,1234;0,09269
2024-08-01T16:30:00+02:00;2,3214;0,09269
2024-08-01T16:45:00+02:00;2,4606;0,09269
2024-08-01T17:00:00+02:00;2,3392;0,09609
2024-08-01T17:15:00+02:00;2,7254;0,09609
2024-08-01T17:30:00+02:00;2,2059;0,09609
2024-08-01T17:45:00+02:00;2,5457;0,09609
2024-08-01T18:00:00+02:00;2,45;0,1261
2024-08-01T18:15:00+02:00;2,3006;0,1261
2024-08-01T18:30:00+02:00;2,5751;0,1261
2024-08-01T18:45:00+02:00;1,9983;0,1261
2024-08-01T19:00:00+02:00;2,2023;0,23604
2024-08-01T19:15:00+02:00;2,4802;0,23604
2024-08-01T19:30:00+02:00;3,1261;0,23604
2024-08-01T19:45:00+02:00;2,5916;0,23604
2024-08-01T20:00:00+02:00;2,7045;0,2992
2024-08-01T20:15:00+02:00;2345;0,2992
2024-08-01T20:30:00+02:00;3,4076;0,2992
2024-08-01T20:45:00+02:00;2,9074;0,2992
2024-08-01T21:00:00+02:00;3,2134;0,14806
2024-08-01T21:15:00+02:00;3,0692;0,14806
2024-08-01T21:30:00+02:00;3,2128;0,14806
2024-08-01T21:45:00+02:00;2,8968;0,14806
2024-08-01T22:00:00+02:00;1,8802;0,11708
2024-08-01T22:15:00+02:00;2,0823;0,11708
2024-08-01T22:30:00+02:00;1,6934;0,11708
2024-08-01T22:45:00+02:00;2,2351;0,11708
2024-08-01T23:00:00+02:00;2,1929;0,1135
2024-08-01T23:15:00+02:00;1,9655;0,1135
2024-08-01T23:30:00+02:00;2,3931;0,1135
2024-08-01T23:45:00+02:00;1,9363;0,1135
2024-08-02T00:00:00+02:00;2,2881;0,09393
2024-08-02T00:15:00+02:00;2,2482;0,09393
2024-08-02T00:30:00+02:00;1,9453;0,09393
2024-08-02T00:45:00+02:00;2,3208;0,09393
2024-08-02T01:00:00+02:00;1,9309;0,08714
2024-08-02T01:15:00+02:00;2,1424;0,08714
2024-08-02T01:30:00+02:00;2,2516;0,08714
2024-08-02T01:45:00+02:00;1998;0,08714
2024-08-02T02:00:00+02:00;2,4226;0,08835
2024-08-02T02:15:00+02:00;1,9931;0,08835
2024-08-02T02:30:00+02:00;2,2696;0,08835
2024-08-02T02:45:00+02:00;2,2079;0,08835
2024-08-02T03:00:00+02:00;2,0555;0,08824
2024-08-02T03:15:00+02:00;2,4016;0,08824
2024-08-02T03:30:00+02:00;2,0224;0,08824
2024-08-02T03:45:00+02:00;2,2083;0,08824
2024-08-02T04:00:00+02:00;2,1867;89
2024-08-02T04:15:00+02:00;2,02;89
2024-08-02T04:30:00+02:00;2,4437;89
2024-08-02T04:45:00+02:00;1,7452;89
2024-08-02T05:00:00+02:00;2,2283;95
2024-08-02T05:15:00+02:00;2,1501;95
2024-08-02T05:30:00+02:00;2,2036;95
2024-08-02T05:45:00+02:00;2,2502;95
2024-08-02T06:00:00+02:00;2,0533;0,11722
2024-08-02T06:15:00+02:00;2,2641;0,11722
2024-08-02T06:30:00+02:00;2,1265;0,11722
2024-08-02T06:45:00+02:00;2,1742;0,11722
2024-08-02T07:00:00+02:00;2,1464;0,1187
2024-08-02T07:15:00+02:00;1,8014;0,1187
2024-08-02T07:30:00+02:00;2,0875;0,1187
2024-08-02T07:45:00+02:00;1,7197;0,1187
2024-08-02T08:00:00+02:00;2,0766;0,11244
2024-08-02T08:15:00+02:00;2156;0,11244
2024-08-02T08:30:00+02:00;3243;0,11244
2024-08-02T08:45:00+02:00;3,2988;0,11244
2024-08-02T09:00:00+02:00;3,2977;0,10442
2024-08-02T09:15:00+02:00;3,6799;0,10442
2024-08-02T09:30:00+02:00;3,6384;0,10442
2024-08-02T09:45:00+02:00;3,7398;0,10442
2024-08-02T10:00:00+02:00;3,5326;0,08638
2024-08-02T10:15:00+02:00;3,2913;0,08638
2024-08-02T10:30:00+02:00;3,5328;0,08638
2024-08-02T10:45:00+02:00;3,4345;0,08638
2024-08-02T11:00:00+02:00;3,2943;0,07436
2024-08-02T11:15:00+02:00;3,5172;0,07436
2024-08-02T11:30:00+02:00;3,2478;0,07436
2024-08-02T11:45:00+02:00;3349;0,07436
